id,tag,profile,province,contribution,location,withdrawal,market,savings_rate,oas_defer,cpp_start,split_frac,spending_curve,seed,tw_gross,tw_after_tax,tw_pv,lifetime_tax,lifetime_benefits
130,grid,young_pro,AB,conventional,reits_sheltered,oas_preservation,bull,0.15,0,65,0.0,flat,42,8412555.9,6690056.63,1070340.26,3052328.21,88740.0
131,grid,young_pro,AB,conventional,reits_sheltered,oas_preservation,bear,0.15,0,65,0.0,flat,42,780014.09,448266.12,71717.97,1129344.31,199736.19999999998
132,grid,young_pro,AB,conventional,reits_sheltered,oas_preservation,stochastic,0.15,0,65,0.0,flat,42,13043402.97,10753999.29,1720529.3,5876542.8500000015,88740.0
133,grid,young_pro,AB,conventional,reits_sheltered,tfsa_last,base,0.15,0,65,0.0,flat,42,3268709.62,2456946.88,393086.23,1784019.3700000003,53448.0
134,grid,young_pro,AB,conventional,reits_sheltered,tfsa_last,bull,0.15,0,65,0.0,flat,42,9697070.23,8101077.48,1296089.09,2893706.8100000005,53448.0
135,grid,young_pro,AB,conventional,reits_sheltered,tfsa_last,bear,0.15,0,65,0.0,flat,42,1038264.66,746156.16,119377.31,1105008.88,209049.24
136,grid,young_pro,AB,conventional,reits_sheltered,tfsa_last,stochastic,0.15,0,65,0.0,flat,42,13541120.16,11308329.37,1809216.41,5787879.61,53448.0
137,grid,young_pro,AB,conventional,reits_sheltered,early_rrif,base,0.15,0,65,0.0,flat,42,2993969.77,2314082.16,370229.35,1684498.8299999998,38330.29
138,grid,young_pro,AB,conventional,reits_sheltered,early_rrif,bull,0.15,0,65,0.0,flat,42,9078046.44,7779185.11,1244589.62,2603114.7700000005,4171.67
139,grid,young_pro,AB,conventional,reits_sheltered,early_rrif,bear,0.15,0,65,0.0,flat,42,973662.04,712562.8,114002.72,1098844.29,228941.40000000005
140,grid,young_pro,AB,conventional,reits_sheltered,early_rrif,stochastic,0.15,0,65,0.0,flat,42,12493032.44,10763323.75,1722021.11,5432951.559999999,0.0
141,grid,young_pro,AB,conventional,reits_sheltered,balanced_draw,base,0.15,0,65,0.0,flat,42,3105054.82,2371846.38,379471.03,1729847.5900000003,36288.33
142,grid,young_pro,AB,conventional,reits_sheltered,balanced_draw,bull,0.15,0,65,0.0,flat,42,9333302.61,7911918.32,1265825.57,2736529.1800000006,26724.0
143,grid,young_pro,AB,conventional,reits_sheltered,balanced_draw,bear,0.15,0,65,0.0,flat,42,998054.78,725247.02,116032.06,1102585.3599999996,222281.25999999998
144,grid,young_pro,AB,conventional,reits_sheltered,balanced_draw,stochastic,0.15,0,65,0.0,flat,42,12944455.62,10998063.81,1759577.11,5607587.190000001,26724.0
145,grid,young_pro,AB,fhsa_first,conventional,nonreg_first,base,0.15,0,65,0.0,flat,42,2014722.13,1842507.12,294782.19,941624.1300000001,236065.0
146,grid,young_pro,AB,fhsa_first,conventional,nonreg_first,bull,0.15,0,65,0.0,flat,42,6953665.55,6722799.9,1075578.85,1017325.8800000001,236065.0
147,grid,young_pro,AB,fhsa_first,conventional,nonreg_first,bear,0.15,0,65,0.0,flat,42,589480.85,499505.92,79915.81,826236.7,236065.0
148,grid,young_pro,AB,fhsa_first,conventional,nonreg_first,stochastic,0.15,0,65,0.0,flat,42,10011150.58,9574332.13,1531794.68,1731504.4500000002,75346.69
149,grid,young_pro,AB,fhsa_first,conventional,rrif_meltdown,base,0.15,0,65,0.0,flat,42,1984779.17,1826936.78,292291.1,938468.6800000002,236065.0
